0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /resources/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /resources/vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /resources/js/list.js HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /resources/css/sb-admin-2.min.css HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /resources/js/reply.js?after HTTP/1.1" 200 5099
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /resources/vendor/jquery/jquery.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /resources/vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /resources/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /resources/js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /resources/vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /resources/vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /resources/js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /board/img/undraw_rocket.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /board/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /board/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:13 +0900] "GET /board/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Oct/2021:09:45:14 +0900] "GET /board/img/undraw_profile.svg HTTP/1.1" 404 721
